Cultivo,Campaña,Zona,Sembrado (Ha),Perdído(Ha),Cosechado(Ha),Rinde(qq/Ha),Producción(MTn),,
Soja,2014/2015,VII,2730000,70000,2660000,39.8,10586800,,
Soja,2014/2015,VIII,1250000,70000,1180000,27.1,3197800,,
Soja,2014/2015,IX,1850000,100000,1750000,30.4,5311250,,
Soja,2014/2015,X,650000,55000,595000,24,1430540,,
Soja,2014/2015,XI,520000,45000,475000,15.9,755250,,
Soja,2014/2015,XII,1680000,100000,1580000,15.5,2441100,,
Soja,2014/2015,XIII,180000,5000,175000,30.7,537789,,
Soja,2014/2015,XIV,220000,12000,208000,29.4,611520,,
Soja,2014/2015,XV,50000,3000,47000,23.4,110049,,
Soja,2014/2015,TOTAL,20000000,900000,19100000,31.8,60803860,,
Soja,2015/2016,I,800000,26000,774000,25.8,1996920,,
Soja,2015/2016,II,1410000,86000,1324000,21.3,2820120,,
Soja,2015/2016,III,2300000,240000,2060000,31.2,6427200,,
Soja,2015/2016,IV,1750000,150000,1600000,35.5,5680000,,
Soja,2015/2016,V,1400000,370000,1030000,22.8,2348400,,
Soja,2015/2016,VI,3000000,180000,2820000,33.9,9559800,,
Soja,2015/2016,VII,2600000,140000,2460000,35.8,8806800,,
